what,kind,bundleId,bundleVersion,description,time
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12286, length=5>",1458664390021
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12335, length=5>",1458664390025
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12612, length=11>",1458664390029
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12651, length=11>",1458664390033
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12717, length=11>",1458664390037
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12778, length=11>",1458664390041
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=13070, length=11>",1458664390044
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=13109, length=11>",1458664390047
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=13175, length=11>",1458664390051
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=13233, length=11>",1458664390055
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=13526, length=11>",1458664390058
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=13565, length=11>",1458664390062
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=13631, length=11>",1458664390065
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=13689, length=11>",1458664390068
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=14111, length=11>",1458664390073
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=14149, length=11>",1458664390076
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=14225, length=7>",1458664390079
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=14322, length=11>",1458664390082
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=14360, length=11>",1458664390085
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=14436, length=7>",1458664390089
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=14533, length=11>",1458664390092
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=14571, length=11>",1458664390095
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=14647, length=7>",1458664390098
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=15274, length=11>",1458664390102
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=15311, length=11>",1458664390105
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=15376, length=11>",1458664390109
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=15432, length=11>",1458664390113
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=10719, length=11>",1458664390130
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=10719, length=5>",1458664390135
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=10756, length=11>",1458664390138
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=10756, length=5>",1458664390141
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=10798, length=11>",1458664390145
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=10798, length=5>",1458664390148
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=10820, length=11>",1458664390151
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=10820, length=5>",1458664390154
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=10866, length=11>",1458664390157
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=10866, length=5>",1458664390161
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11180, length=5>",1458664390164
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11475, length=11>",1458664390167
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11475, length=5>",1458664390170
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11513, length=11>",1458664390173
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11513, length=5>",1458664390176
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11555, length=11>",1458664390179
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11555, length=5>",1458664390182
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11578, length=11>",1458664390185
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11578, length=5>",1458664390188
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11625, length=11>",1458664390192
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11625, length=5>",1458664390195
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11787, length=11>",1458664390198
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11787, length=5>",1458664390201
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11825, length=11>",1458664390204
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11825, length=5>",1458664390207
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11867, length=11>",1458664390210
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11867, length=5>",1458664390213
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11890, length=11>",1458664390216
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11890, length=5>",1458664390220
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11937, length=11>",1458664390222
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=11937, length=5>",1458664390225
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12286, length=5>",1458664390229
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12335, length=5>",1458664390232
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12612, length=11>",1458664390235
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12612, length=5>",1458664390237
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12651, length=11>",1458664390240
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12651, length=5>",1458664390243
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12694, length=11>",1458664390246
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12694, length=5>",1458664390249
error,log,,,"org.eclipse.dltk.core.ModelException: AST node can not be found for the given source range: <offset=12717, length=11>",1458664390252
